,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
76,77,BUY,98066.9,2025-02-05,11:15:00,SELL,97657.20000000001,2025-02-05,16:15:00,0.09222623630161088,-37.78508901276837,-0.41777602840508116
77,78,BUY,97351.8,2025-02-06,02:15:00,SELL,98249.6,2025-02-06,14:30:00,0.09235881520385465,82.91974429002097,0.9222222907023834
78,79,BUY,96759.9,2025-02-07,01:45:00,SELL,96720.7,2025-02-07,06:45:00,0.09356053928496963,-3.6675731399705374,-0.04051265038512554
79,80,BUY,97233.50000000001,2025-02-07,09:30:00,SELL,97955.89999999998,2025-02-07,17:15:00,0.09289222827612158,67.10534570666698,0.7429538173571506
80,81,BUY,96591.0,2025-02-08,01:45:00,SELL,96410.9,2025-02-08,02:15:00,0.09399179703158364,-16.92792264538876,-0.1864562950999636
81,82,BUY,96676.6,2025-02-08,02:30:00,SELL,96259.30000000002,2025-02-08,04:45:00,0.09356387353034692,-39.04420442421268,-0.4316452998967572
82,83,BUY,96363.0,2025-02-08,13:45:00,SELL,96062.30000000002,2025-02-08,15:00:00,0.09330538289969112,-28.05692863793549,-0.31204923051376826
83,84,BUY,96140.6,2025-02-08,17:30:00,SELL,96780.9,2025-02-09,10:15:00,0.09306657076777995,59.590525262608416,0.6660037486764055
84,85,BUY,96277.0,2025-02-09,21:00:00,SELL,96200.0,2025-02-09,21:15:00,0.09334565310409156,-7.18761528901505,-0.0799775647350873
85,86,BUY,96423.6,2025-02-10,00:00:00,SELL,95544.00000000001,2025-02-10,02:00:00,0.09295590148749028,-81.76401094839564,-0.9122248080345384
86,87,BUY,96951.8,2025-02-10,03:45:00,SELL,97450.19999999998,2025-02-10,15:15:00,0.09147343893583741,45.5903619656195,0.5140698780218415
87,88,BUY,97573.7,2025-02-10,19:15:00,SELL,97216.79999999999,2025-02-10,21:15:00,0.09116106897942537,-32.535385518757714,-0.36577479382252465
88,89,BUY,97391.5,2025-02-10,22:45:00,SELL,97259.89999999998,2025-02-10,23:15:00,0.0908411293741769,-11.954692625643531,-0.13512472854409302
89,90,BUY,97682.60000000002,2025-02-11,00:15:00,SELL,97868.3,2025-02-11,10:30:00,0.09028227838242305,16.765419095614384,0.19010550497220846
90,91,BUY,96188.3,2025-02-11,22:30:00,SELL,95789.7,2025-02-11,22:45:00,0.09167585451551047,-36.54199560988301,-0.4143955137995014
91,92,BUY,95887.09999999999,2025-02-12,00:45:00,SELL,95342.7,2025-02-12,03:15:00,0.09142741793286348,-49.77308632265034,-0.5677510322034917
92,93,BUY,95879.1,2025-02-12,06:15:00,SELL,94462.30000000002,2025-02-12,13:45:00,0.09076883584832988,-128.60128662991272,-1.4776943045981745
93,94,BUY,96944.3,2025-02-12,17:00:00,SELL,97463.4,2025-02-13,04:00:00,0.08834187029125434,45.85826486818936,0.5354621158747768
94,95,BUY,96232.2,2025-02-13,19:15:00,SELL,95664.1,2025-02-13,19:45:00,0.08927865700887393,-50.7192050467405,-0.5903429413439486
95,96,BUY,96099.4,2025-02-13,20:30:00,SELL,96632.70000000001,2025-02-14,12:15:00,0.08873137218681004,47.32044078722735,0.5549462327548533
96,97,BUY,97249.9,2025-02-14,15:00:00,SELL,96376.50000000001,2025-02-14,15:30:00,0.0879768486400955,-76.83897960225762,-0.898098609870015
97,98,BUY,97626.8,2025-02-14,17:00:00,SELL,96833.0,2025-02-14,21:15:00,0.08672372538566281,-68.84129321113939,-0.8130964038563211
98,99,BUY,97632.79999999999,2025-02-15,01:30:00,SELL,97466.70000000001,2025-02-15,05:15:00,0.08588436378056355,-14.265392823949606,-0.17012725231682052
99,100,BUY,97517.9,2025-02-15,10:45:00,SELL,97450.1,2025-02-15,16:45:00,0.08568335261960654,-5.809331307608326,-0.06952569733350325
100,101,BUY,97563.2,2025-02-15,20:15:00,SELL,97398.7,2025-02-15,20:45:00,0.08542442314025883,-14.052317606572577,-0.16860865572264952
101,102,BUY,97606.0,2025-02-15,21:15:00,SELL,97392.10000000002,2025-02-15,22:45:00,0.08508818212363924,-18.2003621562447,-0.2191463639530148
102,103,BUY,97579.90000000001,2025-02-16,00:15:00,SELL,97474.7,2025-02-16,03:00:00,0.08477204160011324,-8.9180187763329,-0.10780908773221906
103,104,BUY,97555.1,2025-02-16,06:30:00,SELL,97480.50000000001,2025-02-16,06:45:00,0.08454581342922425,-6.307117681819391,-0.07646960538197517
104,105,BUY,97006.7,2025-02-16,20:30:00,SELL,96900.80000000002,2025-02-16,20:45:00,0.08480051945478419,-8.980375010259918,-0.10916771728136265
105,106,BUY,97126.5,2025-02-16,21:45:00,SELL,96749.9,2025-02-16,22:45:00,0.0844472508578482,-31.802834673066123,-0.3877417594580324
106,107,BUY,96339.9,2025-02-17,10:15:00,SELL,96028.7,2025-02-17,10:45:00,0.08466169785279488,-26.346720371789523,-0.323022963486569
107,108,BUY,96270.0,2025-02-17,12:45:00,SELL,95605.5,2025-02-17,16:00:00,0.08430237613693334,-56.018928942992204,-0.6902461826114055
108,109,BUY,96032.3,2025-02-17,21:15:00,SELL,95559.9,2025-02-18,00:30:00,0.08379694556831925,-39.585677086474746,-0.4919178234823166
109,110,BUY,96070.1,2025-02-18,01:45:00,SELL,95715.2,2025-02-18,05:45:00,0.08321376706770758,-29.532565932330147,-0.36941774808187844
110,111,BUY,95835.2,2025-02-18,10:45:00,SELL,95346.3,2025-02-18,15:30:00,0.08296677804729903,-40.562457787324014,-0.5101465849708606
111,112,BUY,94879.9,2025-02-18,21:45:00,SELL,95082.3,2025-02-19,05:30:00,0.0832371746302132,16.847204145155878,0.21332231589621062
112,113,BUY,95577.4,2025-02-19,07:00:00,SELL,95733.1,2025-02-19,15:15:00,0.08264002084343423,12.867051245323673,0.16290461971136655
113,114,BUY,96274.3,2025-02-19,16:30:00,SELL,95862.0,2025-02-19,18:45:00,0.08201269099908304,-33.813832498922174,-0.4282555157503123
114,115,BUY,96354.1,2025-02-19,20:15:00,SELL,96827.8,2025-02-20,08:15:00,0.08145619012388293,38.585797261683105,0.491624123934526
115,116,BUY,96935.0,2025-02-20,08:30:00,SELL,97057.1,2025-02-20,15:30:00,0.08119181990939367,9.91352121093744,0.12596069531129708
116,117,BUY,97652.1,2025-02-20,16:30:00,SELL,98065.0,2025-02-21,03:00:00,0.0805388100235813,33.25447465873625,0.42282756848034414
117,118,BUY,98226.2,2025-02-21,05:15:00,SELL,98129.3,2025-02-21,08:30:00,0.08023742217080859,-7.775006208350885,-0.0986498510580621
118,119,BUY,98310.0,2025-02-21,09:30:00,SELL,98166.6,2025-02-21,09:45:00,0.07994091688606461,-11.4635274814612,-0.14586512053707068
119,120,BUY,98285.1,2025-02-21,10:00:00,SELL,97552.5,2025-02-21,15:45:00,0.07969911998064826,-58.387575297823375,-0.7453825656177852
120,121,BUY,96302.2,2025-02-22,01:30:00,SELL,96216.9,2025-02-22,08:30:00,0.08061028793141704,-6.876057560550108,-0.08857533888115007
121,122,BUY,96442.5,2025-02-22,10:00:00,SELL,96415.9,2025-02-22,19:15:00,0.0802723355308469,-2.1352441251209946,-0.02758120123390188
122,123,BUY,96620.1,2025-02-22,22:00:00,SELL,96503.3,2025-02-23,00:00:00,0.07995165737008536,-9.338353580826203,-0.12088581982424249
123,124,BUY,96454.6,2025-02-23,08:00:00,SELL,96291.9,2025-02-23,08:30:00,0.07984478900176871,-12.9907471705887,-0.1686803947142092
124,125,BUY,95787.1,2025-02-23,19:30:00,SELL,95636.1,2025-02-23,22:15:00,0.08011972031720115,-12.098077767897372,-0.15764126902265543
125,126,BUY,95779.0,2025-02-23,22:45:00,SELL,95696.0,2025-02-24,03:15:00,0.07985437886731292,-6.627913445986972,-0.0866578268722789
126,127,BUY,95737.4,2025-02-24,07:15:00,SELL,95396.6,2025-02-24,08:30:00,0.07967150201775415,-27.152047887649687,-0.35597373649168285
127,128,BUY,95983.5,2025-02-24,09:30:00,SELL,95500.4,2025-02-24,10:45:00,0.07904785137766536,-38.188017000550595,-0.5033156740481498
128,129,BUY,95774.9,2025-02-24,12:00:00,SELL,95351.0,2025-02-24,14:15:00,0.07869117194953813,-33.357187789408755,-0.44260030550801327
129,130,BUY,88644.3,2025-02-25,20:30:00,SELL,88319.1,2025-02-26,08:15:00,0.0845023763719136,-27.480172796146057,-0.36685945966068556
130,131,BUY,89122.5,2025-02-26,09:45:00,SELL,88397.1,2025-02-26,12:15:00,0.08359664171482141,-60.641003899930965,-0.8139358747790896
131,132,BUY,84865.0,2025-02-27,01:45:00,SELL,84245.0,2025-02-27,03:00:00,0.08694555714659288,-53.90624543088759,-0.7305720850762977
132,133,BUY,84924.6,2025-02-27,03:45:00,SELL,85544.7,2025-02-27,14:45:00,0.08611704475588527,53.40117945312371,0.7301771218233483
133,134,BUY,84557.2,2025-02-27,23:30:00,SELL,83147.2,2025-02-28,01:30:00,0.08692625113929267,-122.56601410640266,-1.6675102770668848
134,135,BUY,80254.9,2025-02-28,11:15:00,SELL,84795.4,2025-03-01,07:45:00,0.08996277698162143,408.4759888850521,5.657598476853127
135,136,BUY,85405.5,2025-03-01,09:30:00,SELL,84848.5,2025-03-01,11:00:00,0.08891623445976835,-49.52634259409097,-0.652182821949406
136,137,BUY,85016.1,2025-03-01,16:30:00,SELL,85720.7,2025-03-02,04:15:00,0.08860049382226363,62.42790794716618,0.8287841949936438
137,138,BUY,85957.1,2025-03-02,06:15:00,SELL,85803.1,2025-03-02,08:45:00,0.08815321996108301,-13.575595874006783,-0.17915913868662392
138,139,BUY,86040.0,2025-03-02,11:30:00,SELL,85773.9,2025-03-02,12:30:00,0.0877512112236259,-23.350597306607366,-0.3092747559274824
139,140,BUY,88031.4,2025-03-02,15:45:00,SELL,92927.4,2025-03-03,01:45:00,0.08535155509763638,417.88121375802774,5.561651865129943
140,141,BUY,92679.1,2025-03-03,11:30:00,SELL,89239.9,2025-03-03,15:00:00,0.08519645940943558,-293.00766320093186,-3.7108690093020016
141,142,BUY,83991.4,2025-03-04,11:30:00,SELL,83607.6,2025-03-04,12:15:00,0.09051927860852345,-34.74129912995024,-0.4569515450391211
142,143,BUY,84685.6,2025-03-04,17:30:00,SELL,86978.7,2025-03-05,04:30:00,0.08921755627028959,204.58477828340028,2.707780307395816
143,144,BUY,87448.1,2025-03-05,07:00:00,SELL,88612.1,2025-03-05,15:15:00,0.08845439113607183,102.96091128238761,1.3310752320519255
144,145,BUY,89700.0,2025-03-05,17:45:00,SELL,91497.6,2025-03-06,08:30:00,0.08716015779095539,156.67909964502192,2.004013377926428
145,146,BUY,89872.6,2025-03-06,22:00:00,SELL,86995.0,2025-03-07,00:30:00,0.08852889378845635,-254.75074476566252,-3.2018657521869907
146,147,BUY,88045.1,2025-03-07,06:15:00,SELL,88650.0,2025-03-07,16:15:00,0.08740088393213771,52.86879469054959,0.6870342585788354
147,148,BUY,86587.7,2025-03-08,06:30:00,SELL,86012.1,2025-03-08,08:15:00,0.08928238202415276,-51.390939093101544,-0.6647595443694557
