trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
79,SELL,96720.7,2025-02-07,06:45:00,BUY,97233.5,2025-02-07,09:30:00,0.08967548088278769,-45.98558659669379,-0.530186402703871
80,SELL,97955.9,2025-02-07,17:15:00,BUY,96591.0,2025-02-08,01:45:00,0.08792994316481575,120.01557942565651,1.3933821239966089
81,SELL,96410.9,2025-02-08,02:15:00,BUY,96676.6,2025-02-08,02:30:00,0.09035297162300826,-24.006784560234347,-0.275591245388241
82,SELL,96259.3,2025-02-08,04:45:00,BUY,96363.0,2025-02-08,13:45:00,0.09008625840698803,-9.341944996804397,-0.1077298505183365
83,SELL,96062.3,2025-02-08,15:00:00,BUY,96140.60000000002,2025-02-08,17:30:00,0.09000700935695595,-7.047548832651223,-0.08150960366347408
84,SELL,96780.9,2025-02-09,10:15:00,BUY,96276.99999999999,2025-02-09,21:00:00,0.08909971425923809,44.89734601523085,0.520660584888143
85,SELL,96200.0,2025-02-09,21:15:00,BUY,96423.60000000002,2025-02-10,00:00:00,0.0899112440844818,-20.10415417729196,-0.2324324324324536
86,SELL,95544.0,2025-02-10,02:00:00,BUY,96951.8,2025-02-10,03:45:00,0.09015646883444793,-126.92227682513607,-1.4734572552959924
87,SELL,97450.19999999998,2025-02-10,15:15:00,BUY,97573.7,2025-02-10,19:15:00,0.08698653455276928,-10.742837017268272,-0.12673139716492587
88,SELL,97216.8,2025-02-10,21:15:00,BUY,97391.5,2025-02-10,22:45:00,0.08692443973320743,-15.185699621391086,-0.1797014507780518
89,SELL,97259.9,2025-02-10,23:15:00,BUY,97682.6,2025-02-11,00:15:00,0.08657360628146246,-36.59466337517519,-0.43460871335464224
90,SELL,97868.3,2025-02-11,10:30:00,BUY,96188.29999999999,2025-02-11,22:30:00,0.0855151385145709,143.66543270448037,1.7165926045512332
91,SELL,95789.7,2025-02-11,22:45:00,BUY,95887.1,2025-02-12,00:45:00,0.08863119696805766,-8.63267858468959,-0.1016810784458128
92,SELL,95342.7,2025-02-12,03:15:00,BUY,95879.10000000002,2025-02-12,06:15:00,0.08879143995896632,-47.6277283939916,-0.5626020660208105
93,SELL,94462.30000000002,2025-02-12,13:45:00,BUY,96944.29999999999,2025-02-12,17:00:00,0.08896905525831,-220.82119515112285,-2.6275032473272093
94,SELL,97463.4,2025-02-13,04:00:00,BUY,96232.2,2025-02-13,19:15:00,0.08391121743018835,103.31149090004766,1.2632434329194313
95,SELL,95664.1,2025-02-13,19:45:00,BUY,96099.4,2025-02-13,20:30:00,0.0863540923786789,-37.58993641243792,-0.455029629714792
96,SELL,96632.7,2025-02-14,12:15:00,BUY,97249.9,2025-02-14,15:00:00,0.08495608493685841,-52.434895623028765,-0.6387071871116062
97,SELL,96376.5,2025-02-14,15:30:00,BUY,97626.8,2025-02-14,17:00:00,0.08450279100209562,-105.65383958992041,-1.2973079537024097
98,SELL,96833.0,2025-02-14,21:15:00,BUY,97632.8,2025-02-15,01:30:00,0.08290695847310325,-66.30898538678822,-0.8259580927989455
99,SELL,97466.7,2025-02-15,05:15:00,BUY,97517.9,2025-02-15,10:45:00,0.0815644680091126,-4.176100762066328,-0.052530761788382174
100,SELL,97450.1,2025-02-15,16:45:00,BUY,97563.2,2025-02-15,20:15:00,0.08138269485858689,-9.204382788505466,-0.1160593986050207
101,SELL,97398.7,2025-02-15,20:45:00,BUY,97606.0,2025-02-15,21:15:00,0.08118090035839567,-16.828800644295658,-0.21283651629847516
102,SELL,97392.1,2025-02-15,22:45:00,BUY,97579.9,2025-02-16,00:15:00,0.08086791221209023,-15.186993913429605,-0.19282878180056529
103,SELL,97474.7,2025-02-16,03:00:00,BUY,97555.1,2025-02-16,06:30:00,0.0804977037024226,-6.472015377675479,-0.08248294172745209
104,SELL,97480.5,2025-02-16,06:45:00,BUY,97006.7,2025-02-16,20:30:00,0.08027684127566923,38.03516739641231,0.4860459271341478
105,SELL,96900.8,2025-02-16,20:45:00,BUY,97126.5,2025-02-16,21:45:00,0.08097691513196116,-18.2764897452834,-0.23291861367501307
106,SELL,96749.9,2025-02-16,22:45:00,BUY,96339.9,2025-02-17,10:15:00,0.08076939583427402,33.115452292052346,0.42377304782743963
107,SELL,96028.7,2025-02-17,10:45:00,BUY,96270.0,2025-02-17,12:45:00,0.08154939895552152,-19.67786996796758,-0.2512790447022639
108,SELL,95605.5,2025-02-17,16:00:00,BUY,96032.3,2025-02-17,21:15:00,0.08155902160206095,-34.80939041975985,-0.4464178316101092
109,SELL,95559.9,2025-02-18,00:30:00,BUY,96070.1,2025-02-18,01:45:00,0.0810964191814629,-41.37539306638332,-0.5339059584616681
110,SELL,95715.2,2025-02-18,05:45:00,BUY,95835.2,2025-02-18,10:45:00,0.08040001705162998,-9.648002046195598,-0.12537193674567884
111,SELL,95346.3,2025-02-18,15:30:00,BUY,94879.9,2025-02-18,21:45:00,0.080461596660395,37.52728868240893,0.48916423605321724
112,SELL,95082.3,2025-02-19,05:30:00,BUY,95577.4,2025-02-19,07:00:00,0.0809070236401759,-40.05706740425038,-0.5207067982158522
113,SELL,95733.1,2025-02-19,15:15:00,BUY,96274.3,2025-02-19,16:30:00,0.07980643211550377,-43.19124106091041,-0.5653217121350892
114,SELL,95862.0,2025-02-19,18:45:00,BUY,96354.1,2025-02-19,20:15:00,0.07911915287025698,-38.93453512745392,-0.5133420959295715
115,SELL,96827.8,2025-02-20,08:15:00,BUY,96935.0,2025-02-20,08:30:00,0.07779886177021109,-8.340037981766402,-0.11071200626266123
116,SELL,97057.1,2025-02-20,15:30:00,BUY,97652.1,2025-02-20,16:30:00,0.07738579673940443,-46.04454905994564,-0.6130411891556619
117,SELL,98065.0,2025-02-21,03:00:00,BUY,98226.2,2025-02-21,05:15:00,0.0759984127962406,-12.250944142753763,-0.16438076785805036
118,SELL,98129.3,2025-02-21,08:30:00,BUY,98310.0,2025-02-21,09:30:00,0.07568566772443007,-13.676400157804293,-0.18414479671209016
119,SELL,98166.6,2025-02-21,09:45:00,BUY,98285.1,2025-02-21,10:00:00,0.07538067658015514,-8.932610174748383,-0.12071315498346687
120,SELL,97552.5,2025-02-21,15:45:00,BUY,96302.2,2025-02-22,01:30:00,0.07562384784087282,94.55249695544352,1.2816688449809106
121,SELL,96216.9,2025-02-22,08:30:00,BUY,96442.5,2025-02-22,10:00:00,0.07746249166799146,-17.475538120299326,-0.2344702437929364
122,SELL,96415.9,2025-02-22,19:15:00,BUY,96620.1,2025-02-22,22:00:00,0.07698337483803797,-15.72000514192825,-0.2117907938421066
123,SELL,96503.3,2025-02-23,00:00:00,BUY,96454.6,2025-02-23,08:00:00,0.07661261149156534,3.731034179639009,0.050464595511238566
124,SELL,96291.9,2025-02-23,08:30:00,BUY,95787.1,2025-02-23,19:30:00,0.07667185009345608,38.703949927175735,0.5242393181565514
125,SELL,95636.1,2025-02-23,22:15:00,BUY,95779.0,2025-02-23,22:45:00,0.07743562069154226,-11.065550196820938,-0.14942056399204293
126,SELL,95696.0,2025-02-24,03:15:00,BUY,95737.4,2025-02-24,07:15:00,0.07713015478341513,-3.1931884080329374,-0.04326199632167926
127,SELL,95396.6,2025-02-24,08:30:00,BUY,95983.5,2025-02-24,09:30:00,0.0771933877460904,-45.304799268180005,-0.6152210875439944
128,SELL,95500.4,2025-02-24,10:45:00,BUY,95774.9,2025-02-24,12:00:00,0.076511933762998,-21.002525817942953,-0.2874333510644982
129,SELL,95351.0,2025-02-24,14:15:00,BUY,88644.3,2025-02-25,20:30:00,0.07627675408420337,511.5653066165265,7.0336965527367274
130,SELL,88319.1,2025-02-26,08:15:00,BUY,89122.5,2025-02-26,09:45:00,0.08770161555192386,-70.45947793441512,-0.9096560087229083
131,SELL,88397.1,2025-02-26,12:15:00,BUY,84865.0,2025-02-27,01:45:00,0.08669975972777196,306.2322213344638,3.995719316583921
132,SELL,84245.0,2025-02-27,03:00:00,BUY,84924.6,2025-02-27,03:45:00,0.09425650367327792,-64.05671989636022,-0.806694759332905
133,SELL,85544.7,2025-02-27,14:45:00,BUY,84557.2,2025-02-27,23:30:00,0.09193664357643778,90.78743553173231,1.1543672489353518
134,SELL,83147.2,2025-02-28,01:30:00,BUY,80254.9,2025-02-28,11:15:00,0.09544564364551397,276.0574351159203,3.4785296438124234
135,SELL,84795.4,2025-03-01,07:45:00,BUY,85405.5,2025-03-01,09:30:00,0.09650849417545351,-58.879832296444754,-0.7194965764652397
136,SELL,84848.5,2025-03-01,11:00:00,BUY,85016.1,2025-03-01,16:30:00,0.09560494275544808,-16.023388405813655,-0.19752853615562538
137,SELL,85720.7,2025-03-02,04:15:00,BUY,85957.1,2025-03-02,06:15:00,0.09427461355085637,-22.286518643423268,-0.27577936251104895
138,SELL,85803.1,2025-03-02,08:45:00,BUY,86040.0,2025-03-02,11:30:00,0.09375812829326556,-22.211300592674064,-0.2760972505655322
139,SELL,85773.9,2025-03-02,12:30:00,BUY,88031.40000000001,2025-03-02,15:45:00,0.09336548626800133,-210.77258525001434,-2.631919499987776
140,SELL,92927.4,2025-03-03,01:45:00,BUY,92679.1,2025-03-03,11:30:00,0.08385773429183535,20.82187542466174,0.2671978340080411
141,SELL,89239.9,2025-03-03,15:00:00,BUY,83991.4,2025-03-04,11:30:00,0.08738007639914432,458.61433098090896,5.881337832068391
142,SELL,83607.6,2025-03-04,12:15:00,BUY,84685.6,2025-03-04,17:30:00,0.09830432896770334,-105.9720666271842,-1.289356469985982
