trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
79,SELL,202.97,2025-02-09,09:00:00,BUY,201.69,2025-02-09,16:45:00,41.31528936462815,52.88357038672408,0.630635069222053
80,SELL,199.89,2025-02-09,18:00:00,BUY,203.05,2025-02-10,00:15:00,42.12583978365618,-133.1176537163546,-1.5808694782130297
81,SELL,196.18,2025-02-10,02:15:00,BUY,203.60000000000002,2025-02-10,03:45:00,42.19567166243344,-313.0918837352568,-3.782240799265988
82,SELL,202.74,2025-02-10,13:00:00,BUY,204.79,2025-02-10,13:45:00,39.28616406477261,-80.53663633278319,-1.0111472822333938
83,SELL,202.43,2025-02-10,15:45:00,BUY,201.81,2025-02-11,01:15:00,38.88937196411755,24.11141061775306,0.30627871362940495
84,SELL,200.9,2025-02-11,03:30:00,BUY,202.93,2025-02-11,04:45:00,39.225203786601895,-79.6271636868019,-1.0104529616724744
85,SELL,202.07,2025-02-11,10:15:00,BUY,198.9,2025-02-11,22:15:00,38.551202993620215,122.2073134897756,1.5687632998465817
86,SELL,196.82,2025-02-11,23:00:00,BUY,198.19,2025-02-11,23:30:00,40.09477469091041,-54.92984132654745,-0.6960674728178055
87,SELL,197.01,2025-02-12,01:15:00,BUY,196.09,2025-02-12,08:45:00,39.71687441777485,36.53952446435236,0.4669813715039783
88,SELL,191.62,2025-02-12,13:45:00,BUY,194.9,2025-02-12,17:45:00,40.93573082337873,-134.26919710068228,-1.7117211147061897
89,SELL,193.01,2025-02-12,19:00:00,BUY,194.65,2025-02-12,20:30:00,39.904236520135875,-65.44294789302343,-0.8496969068960235
90,SELL,195.6,2025-02-13,05:30:00,BUY,191.79,2025-02-13,18:30:00,38.98083351418672,148.5169756890515,1.9478527607361975
91,SELL,196.97,2025-02-14,13:00:00,BUY,199.66,2025-02-14,15:00:00,39.353182801640926,-105.860061736414,-1.3656902066304502
92,SELL,200.44,2025-02-14,21:30:00,BUY,194.6,2025-02-15,23:15:00,38.09809478391327,222.49287353805363,2.9135901017760943
93,SELL,193.7,2025-02-16,02:15:00,BUY,194.88,2025-02-16,04:15:00,40.43710500028714,-47.7157839003391,-0.6091894682498744
94,SELL,193.21,2025-02-16,07:30:00,BUY,188.98,2025-02-17,02:00:00,40.22987535403105,170.1723727475521,2.189327674551016
95,SELL,188.69,2025-02-17,02:15:00,BUY,188.95,2025-02-17,02:30:00,41.975149925821675,-10.913538980713254,-0.13779214584768187
96,SELL,187.844,2025-02-17,02:45:00,BUY,184.91,2025-02-17,10:15:00,42.02525688120984,123.30210368946958,1.5619343710738687
97,SELL,183.31,2025-02-17,10:45:00,BUY,184.18,2025-02-17,12:00:00,43.62629391798659,-37.95487570864853,-0.4746058589275024
98,SELL,183.06,2025-02-17,15:15:00,BUY,180.05,2025-02-17,21:45:00,43.400950061885624,130.63685968627533,1.6442696383699285
99,SELL,178.13,2025-02-17,23:30:00,BUY,170.97,2025-02-18,12:45:00,45.21469401315393,323.73720913418197,4.019536293718069
100,SELL,166.99,2025-02-18,14:45:00,BUY,167.88000000000002,2025-02-18,21:30:00,49.985632151534354,-44.487212614866316,-0.532966045871019
101,SELL,167.39,2025-02-19,04:00:00,BUY,168.83,2025-02-19,07:15:00,49.51870545907129,-71.30693586106395,-0.8602664436346413
102,SELL,169.32,2025-02-19,14:45:00,BUY,171.77,2025-02-19,17:15:00,48.46077130601202,-118.72888969973027,-1.4469643278998447
103,SELL,169.77,2025-02-19,18:30:00,BUY,169.87,2025-02-20,01:00:00,47.57543937125924,-4.757543937125654,-0.058903222006240395
104,SELL,168.16,2025-02-20,02:00:00,BUY,169.46,2025-02-20,02:15:00,47.915623426712834,-62.290310454727226,-0.7730732635585225
105,SELL,172.37,2025-02-20,15:45:00,BUY,174.06,2025-02-20,18:15:00,46.312763257876036,-78.2685699058104,-0.9804490340546486
106,SELL,173.54,2025-02-21,01:30:00,BUY,174.79,2025-02-21,05:15:00,45.48156511277134,-56.851956390964176,-0.7202950328454535
107,SELL,175.58,2025-02-21,15:30:00,BUY,171.57,2025-02-22,01:15:00,44.55726970329732,178.67465151022313,2.283859209477172
108,SELL,172.73,2025-02-22,19:15:00,BUY,171.51,2025-02-23,07:15:00,46.19265473726663,56.35503877946523,0.7063046372952
109,SELL,171.25,2025-02-23,10:15:00,BUY,169.45,2025-02-24,00:15:00,46.81354810297288,84.26438658535172,1.0510948905109556
110,SELL,166.52,2025-02-24,01:00:00,BUY,141.17,2025-02-25,12:00:00,48.53583658614263,1230.3834574587167,15.22339658899833
111,SELL,135.84,2025-02-25,15:00:00,BUY,140.51,2025-02-25,16:15:00,67.99811911755758,-317.551216278993,-3.4378680800942187
112,SELL,141.67,2025-02-26,01:00:00,BUY,144.55,2025-02-26,03:30:00,62.94444221964246,-181.2799935925718,-2.0328933436860477
113,SELL,142.55,2025-02-26,05:15:00,BUY,136.28,2025-02-26,22:15:00,61.227695370075764,383.89764997037565,4.398456681866019
114,SELL,139.3,2025-02-27,14:00:00,BUY,130.94,2025-02-28,09:00:00,65.1578767415012,544.719849558951,6.001435750179478
115,SELL,145.61,2025-03-01,04:00:00,BUY,140.82,2025-03-01,19:30:00,65.77328642120754,315.05404195758547,3.289609230135307
