,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
55,56,BUY,234.29,2025-01-27,21:00:00,SELL,237.55,2025-01-28,09:15:00,41.52934975818612,135.38568021168757,1.3914379615007126
56,57,BUY,230.97,2025-01-29,02:15:00,SELL,231.84,2025-01-29,10:45:00,42.60440034238016,37.06582829787093,0.3766722951032621
57,58,BUY,229.5,2025-01-29,18:45:00,SELL,226.56,2025-01-29,19:15:00,42.94911754134283,-126.27040557154783,-1.281045751633986
58,59,BUY,233.42000000000002,2025-01-29,19:45:00,SELL,229.26,2025-01-29,23:45:00,41.63593870373259,-173.20550500752861,-1.7821951846457136
59,60,BUY,234.94,2025-01-30,01:45:00,SELL,239.84000000000003,2025-01-30,18:30:00,40.58475335566769,198.86529144277304,2.0856388865242335
60,61,BUY,241.61,2025-01-30,22:45:00,SELL,239.85,2025-01-30,23:00:00,40.17217960477196,-70.70303610439943,-0.7284466702537227
61,62,BUY,237.66,2025-01-31,07:00:00,SELL,235.57000000000002,2025-01-31,08:00:00,40.47823140411023,-84.59950363458937,-0.8794075570142115
62,63,BUY,238.15,2025-01-31,11:30:00,SELL,237.60000000000002,2025-01-31,17:15:00,39.981059035368375,-21.989582469451925,-0.2309468822170829
63,64,BUY,233.6,2025-02-01,01:15:00,SELL,230.88,2025-02-01,03:30:00,40.593018692349,-110.41301084318923,-1.1643835616438352
64,65,BUY,232.42,2025-02-01,05:30:00,SELL,231.14999999999998,2025-02-01,06:30:00,40.270737858943235,-51.14383708085832,-0.5464245761982662
65,66,BUY,214.78,2025-02-02,08:45:00,SELL,211.9,2025-02-02,11:00:00,43.26739306903004,-124.61009203880633,-1.3409069745786364
66,67,BUY,213.79999999999998,2025-02-02,14:15:00,SELL,210.66999999999996,2025-02-02,15:45:00,42.83402172762589,-134.07048800747006,-1.4639850327408908
67,68,BUY,211.92,2025-02-02,16:00:00,SELL,209.33,2025-02-02,16:15:00,42.52947278312312,-110.15133450828782,-1.2221593053982518
68,69,BUY,195.58,2025-02-03,07:00:00,SELL,194.57,2025-02-03,13:15:00,45.46059076095296,-45.91519666856337,-0.5164127211371404
69,70,BUY,198.89,2025-02-03,15:15:00,SELL,214.30999999999997,2025-02-04,04:30:00,44.39998630992473,684.6477888990388,7.753029312685398
70,71,BUY,209.67,2025-02-04,11:15:00,SELL,207.23,2025-02-04,20:15:00,45.13616590837468,-110.13224481643411,-1.1637334859541173
71,72,BUY,207.94,2025-02-05,03:45:00,SELL,206.08,2025-02-05,04:15:00,44.92256357239812,-83.55596824465984,-0.8944887948446596
72,73,BUY,205.74,2025-02-05,11:45:00,SELL,204.16999999999996,2025-02-05,15:15:00,44.93122777112037,-70.54202760066123,-0.7630990570623359
73,74,BUY,199.22999999999996,2025-02-06,02:00:00,SELL,200.67,2025-02-06,11:15:00,45.972892008697045,66.20096449252495,0.7227827134467834
74,75,BUY,193.9,2025-02-06,22:00:00,SELL,191.18,2025-02-06,22:15:00,47.47570575347947,-129.1339196494641,-1.4027849406910773
75,76,BUY,193.51,2025-02-07,02:15:00,SELL,190.23,2025-02-07,06:30:00,46.84522514258782,-153.6523384676881,-1.6950028422303764
76,77,BUY,194.48,2025-02-07,08:45:00,SELL,197.81999999999996,2025-02-07,16:45:00,45.77320150368398,152.88249302230335,1.7174002468119989
77,78,BUY,193.3,2025-02-08,01:30:00,SELL,191.85,2025-02-08,04:45:00,46.71573518471418,-67.73781601783635,-0.750129332643568
78,79,BUY,193.11,2025-02-08,08:15:00,SELL,202.97,2025-02-09,09:00:00,46.339950022537586,456.9119072222199,5.105898192739882
79,80,BUY,201.69,2025-02-09,16:45:00,SELL,199.89,2025-02-09,18:00:00,46.43431726748309,-83.58177108147008,-0.8924587237840306
80,81,BUY,203.05,2025-02-10,00:15:00,SELL,196.18,2025-02-10,02:15:00,45.64276582625531,-313.56580122637416,-3.3834031026840696
81,82,BUY,203.60000000000002,2025-02-10,03:45:00,SELL,202.74,2025-02-10,13:00:00,43.969264581983964,-37.81356754050681,-0.4223968565815391
82,83,BUY,204.79,2025-02-10,13:45:00,SELL,202.43,2025-02-10,15:45:00,43.4576446171795,-102.56004129654298,-1.1524000195321964
83,84,BUY,201.81,2025-02-11,01:15:00,SELL,200.9,2025-02-11,03:30:00,43.53756985841273,-39.61918857115543,-0.4509191814082536
84,85,BUY,202.93,2025-02-11,04:45:00,SELL,202.07,2025-02-11,10:15:00,43.02758096025868,-37.00371962582305,-0.42379145518159644
85,86,BUY,198.89999999999998,2025-02-11,22:15:00,SELL,196.82,2025-02-11,23:00:00,43.637215870726976,-90.76540901111142,-1.0457516339869202
86,87,BUY,198.19,2025-02-11,23:30:00,SELL,197.01000000000002,2025-02-12,01:15:00,43.27789876973914,-51.06792054829125,-0.595388263787264
87,88,BUY,196.09,2025-02-12,08:45:00,SELL,191.61999999999998,2025-02-12,13:45:00,43.411107034217004,-194.04764844295119,-2.2795655056351816
88,89,BUY,194.90000000000003,2025-02-12,17:45:00,SELL,193.01,2025-02-12,19:00:00,42.6460896722897,-80.60110948062938,-0.969728065674727
89,90,BUY,194.65,2025-02-12,20:30:00,SELL,195.6,2025-02-13,05:30:00,42.23110656394805,40.11955123575017,0.48805548420240874
90,91,BUY,191.79,2025-02-13,18:30:00,SELL,196.97,2025-02-14,13:00:00,42.97575212686302,222.61439601715074,2.7008707440429673
91,92,BUY,199.66000000000003,2025-02-14,15:00:00,SELL,200.44,2025-02-14,21:30:00,42.26150098116976,32.96397076531126,0.39066412901931913
92,93,BUY,194.6,2025-02-15,23:15:00,SELL,193.7,2025-02-16,02:15:00,43.4387650201026,-39.09488851809259,-0.4624871531346381
93,94,BUY,194.88,2025-02-16,04:15:00,SELL,193.20999999999998,2025-02-16,07:30:00,43.105760866143264,-71.98662064645994,-0.8569376026272659
94,95,BUY,188.98,2025-02-17,02:00:00,SELL,188.69,2025-02-17,02:15:00,44.00328003690014,-12.76095121070069,-0.15345539210498044
95,96,BUY,188.95000000000002,2025-02-17,02:30:00,SELL,187.844,2025-02-17,02:45:00,43.86023060377997,-48.50941504778165,-0.5853400370468499
96,97,BUY,184.91,2025-02-17,10:15:00,SELL,183.31,2025-02-17,10:45:00,44.48434605478724,-71.17495368765933,-0.8652858147206719
97,98,BUY,184.18,2025-02-17,12:00:00,SELL,183.06,2025-02-17,15:15:00,44.21386784948093,-49.51953199141884,-0.6081007709849086
98,99,BUY,180.05,2025-02-17,21:45:00,SELL,178.13,2025-02-17,23:30:00,44.87864060349605,-86.16698995871313,-1.0663704526520499
99,100,BUY,170.97,2025-02-18,12:45:00,SELL,166.99,2025-02-18,14:45:00,46.69397964720064,-185.84203899585808,-2.3278937825349417
100,101,BUY,167.88,2025-02-18,21:30:00,SELL,167.39,2025-02-19,04:00:00,46.412485708496185,-22.742117997163554,-0.2918751489158977
101,102,BUY,168.83,2025-02-19,07:15:00,SELL,169.32,2025-02-19,14:45:00,45.933075161488524,22.50720682912849,0.29023277853460916
102,103,BUY,171.77,2025-02-19,17:15:00,SELL,169.77,2025-02-19,18:30:00,45.18813879522518,-90.37627759045036,-1.1643476742155208
103,104,BUY,169.87,2025-02-20,01:00:00,SELL,168.16,2025-02-20,02:00:00,45.099171521468016,-77.11958330171066,-1.0066521457585258
104,105,BUY,169.46,2025-02-20,02:15:00,SELL,172.37,2025-02-20,15:45:00,44.690511740298746,130.0493891642692,1.7172194028089203
105,106,BUY,174.06,2025-02-20,18:15:00,SELL,173.54,2025-02-21,01:30:00,44.13843051009828,-22.95198386525156,-0.2987475583132312
106,107,BUY,174.79,2025-02-21,05:15:00,SELL,175.58,2025-02-21,15:30:00,43.74845770335664,34.561281585652644,0.4519709365524461
107,108,BUY,171.57,2025-02-22,01:15:00,SELL,172.73,2025-02-22,19:15:00,44.67086440803005,51.818202713314705,0.676108876843269
108,109,BUY,171.51,2025-02-23,07:15:00,SELL,171.25,2025-02-23,10:15:00,44.89092786439592,-11.671641244742531,-0.15159465920353968
109,110,BUY,169.45,2025-02-24,00:15:00,SELL,166.52,2025-02-24,01:00:00,45.28496609694293,-132.68495066404182,-1.7291236352906334
110,111,BUY,141.17,2025-02-25,12:00:00,SELL,135.84,2025-02-25,15:00:00,53.36143041325728,-284.41642410266047,-3.775589714528572
111,112,BUY,140.51,2025-02-25,16:15:00,SELL,141.67,2025-02-26,01:00:00,51.58917487150499,59.84344285094561,0.8255640167959553
112,113,BUY,144.55,2025-02-26,03:30:00,SELL,142.55,2025-02-26,05:15:00,50.44494410381587,-100.88988820763174,-1.3836042891732963
113,114,BUY,136.28,2025-02-26,22:15:00,SELL,139.3,2025-02-27,14:00:00,52.69801650986675,159.14800985979812,2.216025829175235
114,115,BUY,130.94,2025-02-28,09:00:00,SELL,145.61,2025-03-01,04:00:00,55.90046499218151,820.0598214353037,11.203604704444796
115,116,BUY,140.82,2025-03-01,19:30:00,SELL,140.1,2025-03-01,20:45:00,57.40645793584631,-41.33264971380928,-0.5112910097997436
116,117,BUY,140.53,2025-03-01,21:00:00,SELL,142.95,2025-03-02,06:00:00,57.136491128176104,138.27030853018545,1.7220522308403812
117,118,BUY,144.36,2025-03-02,06:45:00,SELL,142.65,2025-03-02,08:15:00,56.427853768385866,-96.49162994394028,-1.184538653366589
118,119,BUY,143.93,2025-03-02,10:00:00,SELL,142.25,2025-03-02,12:15:00,55.85261292819063,-93.83238971936063,-1.1672340721183956
119,120,BUY,151.84,2025-03-02,15:30:00,SELL,170.5,2025-03-03,02:15:00,52.255697666221444,975.091318451692,12.289251844046362
120,121,BUY,163.79,2025-03-03,13:15:00,SELL,155.08,2025-03-03,15:00:00,53.99461192115425,-470.29306983325245,-5.317784968557286
121,122,BUY,140.48,2025-03-04,14:45:00,SELL,135.24,2025-03-04,15:15:00,59.66103799498396,-312.62383909371476,-3.7300683371298273
122,123,BUY,137.12,2025-03-04,15:45:00,SELL,133.11,2025-03-04,16:30:00,58.84736865341796,-235.97794830020547,-2.9244457409568194
123,124,BUY,139.37,2025-03-04,17:30:00,SELL,141.78,2025-03-05,04:00:00,56.17619614676966,135.3846327137147,1.7292100165028315
124,125,BUY,143.96,2025-03-05,08:15:00,SELL,143.18,2025-03-05,13:45:00,55.178100850183995,-43.038918663143576,-0.5418171714365109
125,126,BUY,145.38,2025-03-05,19:15:00,SELL,148.67,2025-03-06,13:15:00,54.24684639087821,178.4721246259889,2.26303480533773
126,127,BUY,142.49,2025-03-07,05:30:00,SELL,141.92,2025-03-07,12:45:00,56.430482766612606,-32.16537517697041,-0.4000280721454289
127,128,BUY,145.88,2025-03-07,13:45:00,SELL,142.97,2025-03-07,16:45:00,54.80901949479507,-159.49424672985347,-1.9947902385522327
128,129,BUY,145.28,2025-03-07,18:30:00,SELL,141.9,2025-03-07,21:15:00,53.888905723364026,-182.14450134497017,-2.326541850220261
129,130,BUY,137.67,2025-03-08,19:00:00,SELL,136.48,2025-03-08,22:15:00,55.50403807702659,-66.04980531166152,-0.8643858502215427
130,131,BUY,137.71,2025-03-09,00:45:00,SELL,136.95,2025-03-09,03:15:00,54.93128537822292,-41.74777688745048,-0.551884394742589
131,132,BUY,137.9,2025-03-09,03:45:00,SELL,137.63,2025-03-09,10:15:00,54.460076526746434,-14.704220662222095,-0.19579405366208139
132,133,BUY,128.25,2025-03-10,05:00:00,SELL,127.02,2025-03-10,06:45:00,58.3286850219699,-71.74428257702321,-0.9590643274853832
133,134,BUY,128.01,2025-03-10,08:00:00,SELL,126.25,2025-03-10,08:45:00,57.80422056140636,-101.73542818807466,-1.3748925865166712
